Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,
Stade Louis II17,Wed,2021-01-20,20:30 (11:30),Freiburg,0.7,2–2,1.4,Eint Frankfurt,,Schwarzwald-Stadion,Guido Winkmann,
Stade Louis II18,Fri,2021-01-22,20:30 (11:30),M'Gladbach,1.8,4–2,1.2,Dortmund,,Stadion im Borussia-Park,Manuel Gräfe,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Freiburg,1.2,2–1,2.5,Stuttgart,,Schwarzwald-Stadion,Tobias Stieler,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Mainz 05,1.6,3–2,1.4,RB Leipzig,,Opel Arena,Christian Dingert,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Augsburg,1.0,2–1,1.5,Union Berlin,,WWK Arena,Felix Brych,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Arminia,0.6,1–5,2.4,Eint Frankfurt,,SchücoArena,Robert Schröder,
Stade Louis II18,Sat,2021-01-23,15:30 (06:30),Leverkusen,1.0,0–1,1.1,Wolfsburg,,BayArena,Marco Fritz,
Stade Louis II18,Sat,2021-01-23,18:30 (09:30),Hertha BSC,1.9,1–4,1.5,Werder Bremen,,Olympiastadion Berlin,Daniel Schlager,
Stade Louis II18,Sun,2021-01-24,15:30 (06:30),Schalke 04,0.7,0–4,3.1,Bayern Munich,,Veltins-Arena,Sascha Stegemann,
Stade Louis II18,Sun,2021-01-24,18:00 (09:00),Hoffenheim,2.2,3–0,2.0,Köln,,PreZero Arena,Sven Jablonski,
Stade Louis II19,Fri,2021-01-29,20:30 (11:30),Stuttgart,1.0,2–0,0.5,Mainz 05,,Mercedes-Benz Arena,Frank Willenborg,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Dortmund,1.9,3–1,0.5,Augsburg,,Signal Iduna Park,Patrick Ittrich,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Bayern Munich,2.0,4–1,2.1,Hoffenheim,,Allianz Arena,Benjamin Cortus,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Union Berlin,0.5,1–1,0.9,M'Gladbach,,Stadion An der Alten Försterei,Bastian Dankert,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Werder Bremen,0.7,1–1,0.3,Schalke 04,,Weserstadion,Sören Storks,
Stade Louis II19,Sat,2021-01-30,15:30 (06:30),Eint Frankfurt,2.3,3–1,0.5,Hertha BSC,,Commerzbank-Arena,Florian Badstübner,
Stade Louis II19,Sat,2021-01-30,18:30 (09:30),RB Leipzig,1.7,1–0,0.5,Leverkusen,,Red Bull Arena,Harm Osmers,
Stade Louis II19,Sun,2021-01-31,15:30 (06:30),Köln,1.7,3–1,1.5,Arminia,,RheinEnergieSTADION,Felix Zwayer,
Stade Louis II19,Sun,2021-01-31,18:00 (09:00),Wolfsburg,2.3,3–0,0.7,Freiburg,,Volkswagen Arena,Tobias Reichel,
Stade Louis II20,Fri,2021-02-05,20:00 (11:00),Hertha BSC,1.4,0–1,2.4,Bayern Munich,,Olympiastadion Berlin,Robert Schröder,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Freiburg,0.2,2–1,1.5,Dortmund,,Schwarzwald-Stadion,Felix Brych,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Augsburg,0.6,0–2,2.3,Wolfsburg,,WWK Arena,Robert Hartmann,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Leverkusen,3.9,5–2,1.5,Stuttgart,,BayArena,Sven Jablonski,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Schalke 04,0.2,0–3,2.1,RB Leipzig,,Veltins-Arena,Martin Petersen,
Stade Louis II20,Sat,2021-02-06,15:30 (06:30),Mainz 05,1.9,1–0,0.8,Union Berlin,,Opel Arena,Sascha Stegemann,
Stade Louis II20,Sat,2021-02-06,18:30 (09:30),M'Gladbach,0.8,1–2,0.5,Köln,,Stadion im Borussia-Park,Christian Dingert,
Stade Louis II20,Sun,2021-02-07,15:30 (06:30),Hoffenheim,0.9,1–3,1.0,Eint Frankfurt,,PreZero Arena,Daniel Siebert,
Stade Louis II21,Fri,2021-02-12,20:30 (11:30),RB Leipzig,2.9,2–1,0.9,Augsburg,,Red Bull Arena,Felix Zwayer,
Stade Louis II21,Sat,2021-02-13,15:30 (06:30),Stuttgart,1.3,1–1,1.4,Hertha BSC,,Mercedes-Benz Arena,Harm Osmers,
Stade Louis II21,Sat,2021-02-13,15:30 (06:30),Leverkusen,1.3,2–2,2.5,Mainz 05,,BayArena,Guido Winkmann,
Stade Louis II21,Sat,2021-02-13,15:30 (06:30),Werder Bremen,0.7,0–0,0.8,Freiburg,,Weserstadion,Manuel Gräfe,
Stade Louis II21,Sat,2021-02-13,15:30 (06:30),Dortmund,1.7,2–2,2.6,Hoffenheim,,Signal Iduna Park,Bastian Dankert,
Stade Louis II21,Sat,2021-02-13,18:30 (09:30),Union Berlin,2.3,0–0,0.4,Schalke 04,,Stadion An der Alten Försterei,Daniel Schlager,
Stade Louis II21,Sun,2021-02-14,15:30 (06:30),Eint Frankfurt,2.0,2–0,0.4,Köln,,Commerzbank-Arena,Frank Willenborg,
Stade Louis II21,Sun,2021-02-14,18:00 (09:00),Wolfsburg,0.8,0–0,0.6,M'Gladbach,,Volkswagen Arena,Tobias Stieler,
Stade Louis II21,Mon,2021-02-15,20:30 (11:30),Bayern Munich,2.1,3–3,1.2,Arminia,,Allianz Arena,Florian Badstübner,
Stade Louis II22,Fri,2021-02-19,20:30 (11:30),Arminia,0.6,0–3,1.1,Wolfsburg,,SchücoArena,Felix Brych,
Stade Louis II22,Sat,2021-02-20,15:30 (06:30),Eint Frankfurt,1.1,2–1,2.0,Bayern Munich,,Commerzbank-Arena,Sascha Stegemann,
Stade Louis II22,Sat,2021-02-20,15:30 (06:30),Köln,0.7,0–1,0.5,Stuttgart,,RheinEnergieSTADION,Benjamin Cortus,
Stade Louis II22,Sat,2021-02-20,15:30 (06:30),Freiburg,0.4,0–1,1.2,Union Berlin,,Schwarzwald-Stadion,Sören Storks,
Stade Louis II22,Sat,2021-02-20,15:30 (06:30),M'Gladbach,0.8,1–2,0.7,Mainz 05,,Stadion im Borussia-Park,Markus Schmidt,
Stade Louis II22,Sat,2021-02-20,18:30 (09:30),Schalke 04,0.8,0–4,1.7,Dortmund,,Veltins-Arena,Daniel Siebert,
Stade Louis II22,Sun,2021-02-21,13:30 (04:30),Augsburg,1.5,1–1,0.5,Leverkusen,,WWK Arena,Christian Dingert,
Stade Louis II22,Sun,2021-02-21,15:30 (06:30),Hertha BSC,0.6,0–3,1.0,RB Leipzig,,Olympiastadion Berlin,Sven Jablonski,
Stade Louis II22,Sun,2021-02-21,18:00 (09:00),Hoffenheim,1.7,4–0,0.1,Werder Bremen,,PreZero Arena,Robert Schröder,
Stade Louis II23,Fri,2021-02-26,20:30 (11:30),Werder Bremen,1.0,2–1,0.9,Eint Frankfurt,,Weserstadion,Robert Hartmann,
Stade Louis II23,Sat,2021-02-27,15:30 (06:30),Bayern Munich,2.1,5–1,1.0,Köln,,Allianz Arena,Martin Petersen,
Stade Louis II23,Sat,2021-02-27,15:30 (06:30),Stuttgart,2.5,5–1,1.5,Schalke 04,,Mercedes-Benz Arena,Guido Winkmann,
Stade Louis II23,Sat,2021-02-27,15:30 (06:30),Dortmund,3.6,3–0,0.6,Arminia,,Signal Iduna Park,Tobias Reichel,
Stade Louis II23,Sat,2021-02-27,15:30 (06:30),Wolfsburg,0.5,2–0,1.2,Hertha BSC,,Volkswagen Arena,Bastian Dankert,
Stade Louis II23,Sat,2021-02-27,18:30 (09:30),RB Leipzig,1.8,3–2,1.3,M'Gladbach,,Red Bull Arena,Manuel Gräfe,
Stade Louis II23,Sun,2021-02-28,13:30 (04:30),Union Berlin,1.0,1–1,1.3,Hoffenheim,,Stadion An der Alten Försterei,Tobias Stieler,
Stade Louis II23,Sun,2021-02-28,15:30 (06:30),Mainz 05,0.6,0–1,1.6,Augsburg,,Opel Arena,Daniel Schlager,
Stade Louis II23,Sun,2021-02-28,18:00 (09:00),Leverkusen,1.6,1–2,1.4,Freiburg,,BayArena,Felix Zwayer,
Stade Louis II24,Fri,2021-03-05,20:30 (11:30),Schalke 04,0.2,0–0,1.1,Mainz 05,,Veltins-Arena,Felix Brych,
Stade Louis II24,Sat,2021-03-06,15:30 (06:30),Hertha BSC,2.3,2–1,0.4,Augsburg,,Olympiastadion Berlin,Florian Badstübner,
Stade Louis II24,Sat,2021-03-06,15:30 (06:30),Hoffenheim,1.1,2–1,1.9,Wolfsburg,,PreZero Arena,Markus Schmidt,
Stade Louis II24,Sat,2021-03-06,15:30 (06:30),M'Gladbach,0.6,0–1,1.5,Leverkusen,,Stadion im Borussia-Park,Daniel Siebert,
Stade Louis II24,Sat,2021-03-06,15:30 (06:30),Freiburg,0.1,0–3,1.8,RB Leipzig,,Schwarzwald-Stadion,Guido Winkmann,
Stade Louis II24,Sat,2021-03-06,15:30 (06:30),Eint Frankfurt,1.6,1–1,0.5,Stuttgart,,Commerzbank-Arena,Robert Schröder,
Stade Louis II24,Sat,2021-03-06,18:30 (09:30),Bayern Munich,2.9,4–2,0.6,Dortmund,,Allianz Arena,Marco Fritz,
Stade Louis II24,Sun,2021-03-07,15:30 (06:30),Köln,1.6,1–1,1.3,Werder Bremen,,RheinEnergieSTADION,Matthias Jöllenbeck,
Stade Louis II24,Sun,2021-03-07,18:00 (09:00),Arminia,0.5,0–0,0.8,Union Berlin,,SchücoArena,Harm Osmers,
Stade Louis II20,Wed,2021-03-10,18:30 (09:30),Arminia,2.6,0–2,1.5,Werder Bremen,,SchücoArena,Markus Schmidt,
Stade Louis II25,Fri,2021-03-12,20:30 (11:30),Augsburg,1.6,3–1,3.0,M'Gladbach,,WWK Arena,Sven Jablonski,
Stade Louis II25,Sat,2021-03-13,15:30 (06:30),Mainz 05,1.7,1–0,0.9,Freiburg,,Opel Arena,Benjamin Cortus,
Stade Louis II25,Sat,2021-03-13,15:30 (06:30),Wolfsburg,1.7,5–0,0.2,Schalke 04,,Volkswagen Arena,Sören Storks,
Stade Louis II25,Sat,2021-03-13,15:30 (06:30),Union Berlin,2.3,2–1,1.3,Köln,,Stadion An der Alten Försterei,Deniz Aytekin,
Stade Louis II25,Sat,2021-03-13,15:30 (06:30),Werder Bremen,1.2,1–3,3.0,Bayern Munich,,Weserstadion,Manuel Gräfe,
Stade Louis II25,Sat,2021-03-13,18:30 (09:30),Dortmund,1.4,2–0,0.4,Hertha BSC,,Signal Iduna Park,Martin Petersen,
Stade Louis II25,Sun,2021-03-14,13:30 (05:30),Leverkusen,2.5,1–2,1.5,Arminia,,BayArena,Sascha Stegemann,
Stade Louis II25,Sun,2021-03-14,15:30 (07:30),RB Leipzig,1.8,1–1,1.0,Eint Frankfurt,,Red Bull Arena,Felix Zwayer,
Stade Louis II25,Sun,2021-03-14,18:00 (10:00),Stuttgart,0.8,2–0,1.1,Hoffenheim,,Mercedes-Benz Arena,Christian Dingert,
Stade Louis II26,Fri,2021-03-19,20:30 (12:30),Arminia,0.3,0–1,2.8,RB Leipzig,,SchücoArena,Frank Willenborg,
Stade Louis II26,Sat,2021-03-20,15:30 (07:30),Köln,1.4,2–2,1.8,Dortmund,,RheinEnergieSTADION,Daniel Siebert,
Stade Louis II26,Sat,2021-03-20,15:30 (07:30),Werder Bremen,0.7,1–2,1.6,Wolfsburg,,Weserstadion,Robert Schröder,
Stade Louis II26,Sat,2021-03-20,15:30 (07:30),Bayern Munich,2.2,4–0,0.8,Stuttgart,,Allianz Arena,Daniel Schlager,
Stade Louis II26,Sat,2021-03-20,15:30 (07:30),Eint Frankfurt,2.4,5–2,2.8,Union Berlin,,Commerzbank-Arena,Markus Schmidt,
Stade Louis II26,Sat,2021-03-20,18:30 (10:30),Schalke 04,0.2,0–3,2.4,M'Gladbach,,Veltins-Arena,Tobias Stieler,
Stade Louis II26,Sun,2021-03-21,13:30 (05:30),Hoffenheim,1.3,1–2,3.5,Mainz 05,,PreZero Arena,Marco Fritz,
Stade Louis II26,Sun,2021-03-21,15:30 (07:30),Hertha BSC,1.9,3–0,1.9,Leverkusen,,Olympiastadion Berlin,Felix Brych,
Stade Louis II26,Sun,2021-03-21,18:00 (10:00),Freiburg,1.4,2–0,1.0,Augsburg,,Schwarzwald-Stadion,Bastian Dankert,
Stade Louis II27,Sat,2021-04-03,15:30 (06:30),Augsburg,0.6,2–1,1.0,Hoffenheim,,WWK Arena,Guido Winkmann,
Stade Louis II27,Sat,2021-04-03,15:30 (06:30),Mainz 05,1.8,1–1,0.5,Arminia,,Opel Arena,Deniz Aytekin,
Stade Louis II27,Sat,2021-04-03,15:30 (06:30),Dortmund,1.7,1–2,1.4,Eint Frankfurt,,Signal Iduna Park,Manuel Gräfe,
Stade Louis II27,Sat,2021-04-03,15:30 (06:30),Leverkusen,0.7,2–1,0.6,Schalke 04,,BayArena,Sven Jablonski,
Stade Louis II27,Sat,2021-04-03,15:30 (06:30),Wolfsburg,0.8,1–0,1.2,Köln,,Volkswagen Arena,Robert Hartmann,
Stade Louis II27,Sat,2021-04-03,18:30 (09:30),RB Leipzig,0.7,0–1,0.6,Bayern Munich,,Red Bull Arena,Daniel Siebert,
Stade Louis II27,Sat,2021-04-03,20:30 (11:30),M'Gladbach,1.9,2–1,1.7,Freiburg,,Stadion im Borussia-Park,Christian Dingert,
Stade Louis II27,Sun,2021-04-04,15:30 (06:30),Stuttgart,0.8,1–0,0.6,Werder Bremen,,Mercedes-Benz Arena,Felix Zwayer,
Stade Louis II27,Sun,2021-04-04,18:00 (09:00),Union Berlin,0.5,1–1,0.9,Hertha BSC,,Stadion An der Alten Försterei,Sascha Stegemann,
Stade Louis II28,Fri,2021-04-09,20:30 (11:30),Arminia,1.4,1–0,0.6,Freiburg,,SchücoArena,Martin Petersen,
Stade Louis II28,Sat,2021-04-10,15:30 (06:30),Hertha BSC,1.6,2–2,1.3,M'Gladbach,,Olympiastadion Berlin,Patrick Ittrich,
Stade Louis II28,Sat,2021-04-10,15:30 (06:30),Bayern Munich,1.0,1–1,1.1,Union Berlin,,Allianz Arena,Tobias Stieler,
Stade Louis II28,Sat,2021-04-10,15:30 (06:30),Werder Bremen,1.4,1–4,1.6,RB Leipzig,,Weserstadion,Florian Badstübner,
Stade Louis II28,Sat,2021-04-10,15:30 (06:30),Eint Frankfurt,1.6,4–3,1.8,Wolfsburg,,Commerzbank-Arena,Marco Fritz,
Stade Louis II28,Sat,2021-04-10,18:30 (09:30),Stuttgart,1.4,2–3,1.3,Dortmund,,Mercedes-Benz Arena,Robert Schröder,
Stade Louis II28,Sun,2021-04-11,15:30 (06:30),Schalke 04,0.7,1–0,0.9,Augsburg,,Veltins-Arena,Harm Osmers,
Stade Louis II28,Sun,2021-04-11,18:00 (09:00),Köln,2.5,2–3,1.7,Mainz 05,,RheinEnergieSTADION,Felix Brych,
Stade Louis II28,Mon,2021-04-12,20:30 (11:30),Hoffenheim,0.1,0–0,0.6,Leverkusen,,PreZero Arena,Matthias Jöllenbeck,
Stade Louis II29,Fri,2021-04-16,20:30 (11:30),RB Leipzig,1.3,0–0,0.2,Hoffenheim,,Red Bull Arena,Manuel Gräfe,
Stade Louis II29,Sat,2021-04-17,15:30 (06:30),Freiburg,2.0,4–0,0.7,Schalke 04,,Schwarzwald-Stadion,Tobias Reichel,
Stade Louis II29,Sat,2021-04-17,15:30 (06:30),Union Berlin,1.4,2–1,0.7,Stuttgart,,Stadion An der Alten Försterei,Benjamin Cortus,
Stade Louis II29,Sat,2021-04-17,15:30 (06:30),Augsburg,0.6,0–0,0.7,Arminia,,WWK Arena,Markus Schmidt,
Stade Louis II29,Sat,2021-04-17,15:30 (06:30),M'Gladbach,2.1,4–0,0.9,Eint Frankfurt,,Stadion im Borussia-Park,Deniz Aytekin,
Stade Louis II29,Sat,2021-04-17,15:30 (06:30),Wolfsburg,1.2,2–3,2.1,Bayern Munich,,Volkswagen Arena,Felix Zwayer,
Stade Louis II29,Sat,2021-04-17,18:30 (09:30),Leverkusen,1.8,3–0,1.2,Köln,,BayArena,Sören Storks,
Stade Louis II29,Sun,2021-04-18,15:30 (06:30),Dortmund,2.9,4–1,0.9,Werder Bremen,,Signal Iduna Park,Bastian Dankert,
Stade Louis II30,Tue,2021-04-20,18:30 (09:30),Köln,0.7,2–1,2.5,RB Leipzig,,RheinEnergieSTADION,Frank Willenborg,
Stade Louis II30,Tue,2021-04-20,20:30 (11:30),Arminia,1.9,1–0,0.3,Schalke 04,,SchücoArena,Christian Dingert,
Stade Louis II30,Tue,2021-04-20,20:30 (11:30),Bayern Munich,1.7,2–0,0.4,Leverkusen,,Allianz Arena,Guido Winkmann,
Stade Louis II30,Tue,2021-04-20,20:30 (11:30),Eint Frankfurt,1.1,2–0,1.6,Augsburg,,Commerzbank-Arena,Robert Schröder,
Stade Louis II30,Wed,2021-04-21,20:30 (11:30),Stuttgart,2.0,1–3,1.5,Wolfsburg,,Mercedes-Benz Arena,Felix Brych,
Stade Louis II30,Wed,2021-04-21,20:30 (11:30),Dortmund,4.3,2–0,0.3,Union Berlin,,Signal Iduna Park,Daniel Schlager,
Stade Louis II30,Wed,2021-04-21,20:30 (11:30),Werder Bremen,1.1,0–1,1.5,Mainz 05,,Weserstadion,Marco Fritz,
Stade Louis II30,Wed,2021-04-21,20:30 (11:30),Hoffenheim,2.1,3–2,0.9,M'Gladbach,,PreZero Arena,Daniel Siebert,
Stade Louis II31,Fri,2021-04-23,20:30 (11:30),Augsburg,1.6,2–3,1.3,Köln,,WWK Arena,Martin Petersen,
Stade Louis II31,Sat,2021-04-24,15:30 (06:30),Mainz 05,0.5,2–1,1.7,Bayern Munich,,Opel Arena,Harm Osmers,
Stade Louis II31,Sat,2021-04-24,15:30 (06:30),Wolfsburg,1.2,0–2,1.3,Dortmund,,Volkswagen Arena,Tobias Stieler,
Stade Louis II31,Sat,2021-04-24,15:30 (06:30),Freiburg,1.8,1–1,1.6,Hoffenheim,,Schwarzwald-Stadion,Manuel Gräfe,
Stade Louis II31,Sat,2021-04-24,15:30 (06:30),Union Berlin,1.9,3–1,0.7,Werder Bremen,,Stadion An der Alten Försterei,Patrick Ittrich,
Stade Louis II31,Sat,2021-04-24,18:30 (09:30),Leverkusen,2.2,3–1,2.4,Eint Frankfurt,,BayArena,Felix Zwayer,
Stade Louis II31,Sun,2021-04-25,15:30 (06:30),RB Leipzig,4.2,2–0,0.2,Stuttgart,,Red Bull Arena,Deniz Aytekin,
Stade Louis II31,Sun,2021-04-25,18:00 (09:00),M'Gladbach,3.7,5–0,0.7,Arminia,,Stadion im Borussia-Park,Robert Hartmann,
Stade Louis II29,Mon,2021-05-03,18:00 (09:00),Mainz 05,1.9,1–1,1.5,Hertha BSC,,SchücoArena,Sascha Stegemann,
Stade Louis II30,Thu,2021-05-06,18:30 (09:30),Hertha BSC,1.5,3–0,1.0,Freiburg,,Olympiastadion Berlin,Benjamin Cortus,
Stade Louis II32,Fri,2021-05-07,20:30 (11:30),Stuttgart,1.3,2–1,2.1,Augsburg,,Mercedes-Benz Arena,Manuel Gräfe,
Stade Louis II32,Sat,2021-05-08,15:30 (06:30),Dortmund,2.2,3–2,1.9,RB Leipzig,,Signal Iduna Park,Daniel Siebert,
Stade Louis II32,Sat,2021-05-08,15:30 (06:30),Hoffenheim,1.4,4–2,0.9,Schalke 04,,PreZero Arena,Guido Winkmann,
Stade Louis II32,Sat,2021-05-08,15:30 (06:30),Werder Bremen,0.6,0–0,1.3,Leverkusen,,Weserstadion,Markus Schmidt,
Stade Louis II32,Sat,2021-05-08,15:30 (06:30),Wolfsburg,1.8,3–0,0.5,Union Berlin,,Volkswagen Arena,Sven Jablonski,
Stade Louis II32,Sat,2021-05-08,18:30 (09:30),Bayern Munich,3.3,6–0,1.2,M'Gladbach,,Allianz Arena,Tobias Stieler,
Stade Louis II32,Sun,2021-05-09,13:30 (04:30),Köln,1.8,1–4,2.6,Freiburg,,RheinEnergieSTADION,Marco Fritz,
Stade Louis II32,Sun,2021-05-09,15:30 (06:30),Eint Frankfurt,0.9,1–1,0.4,Mainz 05,,Commerzbank-Arena,Felix Brych,
Stade Louis II32,Sun,2021-05-09,18:00 (09:00),Hertha BSC,0.8,0–0,0.5,Arminia,,Olympiastadion Berlin,Bastian Dankert,
Stade Louis II31,Wed,2021-05-12,18:00 (09:00),Schalke 04,1.3,1–2,1.9,Hertha BSC,,Veltins-Arena,Markus Schmidt,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),Hertha BSC,0.2,0–0,1.4,Köln,,Olympiastadion Berlin,Deniz Aytekin,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),Schalke 04,2.8,4–3,2.6,Eint Frankfurt,,Veltins-Arena,Sven Jablonski,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),Arminia,1.8,1–1,1.4,Hoffenheim,,SchücoArena,Daniel Schlager,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),Leverkusen,1.3,1–1,1.5,Union Berlin,,BayArena,Patrick Ittrich,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),Augsburg,1.6,2–0,1.2,Werder Bremen,,WWK Arena,Robert Schröder,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),M'Gladbach,0.6,1–2,0.7,Stuttgart,,Stadion im Borussia-Park,Sascha Stegemann,
Stade Louis II33,Sat,2021-05-15,15:30 (06:30),Freiburg,1.4,2–2,3.4,Bayern Munich,,Schwarzwald-Stadion,Florian Badstübner,
Stade Louis II33,Sun,2021-05-16,18:00 (09:00),Mainz 05,1.3,1–3,1.9,Dortmund,,Opel Arena,Harm Osmers,
Stade Louis II33,Sun,2021-05-16,20:30 (11:30),RB Leipzig,2.0,2–2,1.0,Wolfsburg,,Red Bull Arena,Felix Zwayer,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Dortmund,1.3,3–1,1.8,Leverkusen,,Signal Iduna Park,Manuel Gräfe,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Bayern Munich,4.1,5–2,1.5,Augsburg,250,Allianz Arena,Markus Schmidt,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Stuttgart,1.0,0–2,1.6,Arminia,,Mercedes-Benz Arena,Tobias Stieler,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Werder Bremen,2.1,2–4,2.0,M'Gladbach,100,Weserstadion,Felix Brych,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Hoffenheim,2.6,2–1,1.5,Hertha BSC,100,PreZero Arena,Frank Willenborg,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Eint Frankfurt,1.9,3–1,0.9,Freiburg,,Commerzbank-Arena,Christian Dingert,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Wolfsburg,1.4,2–3,2.6,Mainz 05,,Volkswagen Arena,Bastian Dankert,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Union Berlin,0.9,2–1,2.6,RB Leipzig,2000,Stadion An der Alten Försterei,Guido Winkmann,
Stade Louis II34,Sat,2021-05-22,15:30 (06:30),Köln,2.2,1–0,0.5,Schalke 04,,RheinEnergieSTADION,Daniel Siebert,
